"","County","TotPop","State","GeoName","WhitePct","BachelorsPct","Dose1Pct","CarPct","IncomePerCap","AirportEnplanements","TripsOver100PerCap","TripsOver250PerCap"
"17","Colbert",55241,"AL","Colbert, AL",80.4474937093825,18.1,33.5,94.5246800731261,39679,NA,1.36556181097373,0.293495773067106
"18","Conecuh",12067,"AL","Conecuh, AL",51.752714013425,12.8,31,93.2352295189985,34892,NA,1.3827794812298,0.0701085605370017
"19","Coosa",10663,"AL","Coosa, AL",66.7541967551346,12.8,28,95.9821428571429,32523,NA,1.46722310794336,0.266716683860077
"20","Covington",37049,"AL","Covington, AL",84.5124024939944,15.3,22.3,94.6135200646378,36756,NA,1.42624632243785,0.202920456692488
"21","Crenshaw",13772,"AL","Crenshaw, AL",72.1681672959628,17.4,24.2,93.22273922719,37118,NA,1.39021202439733,0.0950479233226837
"22","Cullman",83768,"AL","Cullman, AL",95.7262916626874,13.9,25.3,96.1977186311787,40818,NA,1.16672237608633,0.247540827046127
"23","Dale",49172,"AL","Dale, AL",73.7675913121289,18.1,32.3,95.0707221099649,37853,46792,1.54903196941349,0.246400390466119
"24","Dallas",37196,"AL","Dallas, AL",27.580922679858,14.7,30.4,86.0339409176618,38362,NA,1.71319496720077,0.231368964404775
"25","DeKalb",71513,"AL","DeKalb, AL",92.7146113294086,13,20.1,94.8387096774194,33242,NA,1.08244654818005,0.157509823388754
"26","Elmore",81209,"AL","Elmore, AL",75.6824982452684,25.1,27.1,95.4692338763969,44316,NA,1.20844980236181,0.180472607715894
"27","Escambia",36633,"AL","Escambia, AL",62.2799115551552,12.5,23,94.8964779585912,34432,NA,1.1443780198182,0.209346763846805
"28","Etowah",102268,"AL","Etowah, AL",80.671373254586,17.8,25.9,93.9217297519388,38326,NA,0.7541068564947,0.149323346501349
"29","Fayette",16302,"AL","Fayette, AL",85.7563489142436,12.4,23.5,92.4581005586592,36465,NA,1.03011900380321,0.0951417004048583
"30","Franklin",31362,"AL","Franklin, AL",91.6937695300045,14,30.2,95.0941346850109,35292,NA,1.34092213506792,0.213666220266565
"31","Geneva",26271,"AL","Geneva, AL",87.1493281565224,12.5,25,93.9227583550034,36848,NA,1.58239122987324,0.32903201248525
"32","Greene",8111,"AL","Greene, AL",18.4934040192331,10.1,35.7,82.006099627245,33386,NA,1.33312785106645,0.0781654543212921
"33","Hale",14651,"AL","Hale, AL",40.7002934953246,14.2,40.1,90,38207,NA,2.28523650262781,0.261688621937069
"34","Henry",17205,"AL","Henry, AL",71.5780296425458,17.1,30.8,93.7405731523379,43502,NA,2.13815751235106,0.174949142691078
"35","Houston",105882,"AL","Houston, AL",68.8237849681721,21.7,27.4,93.8007173564651,44647,NA,1.32768553672957,0.236272454241514
"36","Jackson",51626,"AL","Jackson, AL",91.3745012203153,14,31.6,95.6704517999517,38315,NA,1.00112346492078,0.15569674195173
"37","Jefferson",658573,"AL","Jefferson, AL",53.0717171824536,33.4,38.5,92.2727394528215,57329,1325897,1.14268273980257,0.212911856392534
"38","Lamar",13805,"AL","Lamar, AL",87.5262586019558,11.9,29.4,93.0840163934426,35148,NA,1.20804056501268,0.0528793915248099
"39","Lauderdale",92729,"AL","Lauderdale, AL",86.9555371027402,23.5,33.8,93.7069480907697,38758,NA,1.15785784382448,0.153921642636069
"40","Lawrence",32924,"AL","Lawrence, AL",78.2316850929413,12.6,31.5,94.0679971602114,35039,NA,1.01199732717774,0.168752277973515
"41","Lee",164542,"AL","Lee, AL",70.7485019022499,35.3,27.6,95.6007105267527,39781,NA,1.06721688079639,0.173560549889998
"42","Limestone",98915,"AL","Limestone, AL",80.9998483546479,25.7,23.6,97.0444575801885,44946,NA,0.951928423393823,0.146125461254613
"43","Lowndes",9726,"AL","Lowndes, AL",25.981904174378,14.7,34,87.5323453305105,40785,NA,2.26866132017273,0.47892247583796
"44","Macon",18068,"AL","Macon, AL",17.323444764224,20.4,33.5,87.6505218089377,34901,NA,1.20976311711313,0.218673898605269
"45","Madison",372909,"AL","Madison, AL",68.8714941178679,42.8,39.1,95.2972217910911,54010,519785,0.851813713265167,0.134941768635243
"46","Marengo",18863,"AL","Marengo, AL",46.6150665323649,16.1,35.4,89.525879635919,41567,NA,1.48921168424959,0.202618883528601
"47","Marion",29709,"AL","Marion, AL",94.0422094314854,12.8,23.9,94.0985246311578,34000,NA,1.57810764414824,0.204820088188764
"48","Marshall",96774,"AL","Marshall, AL",92.8079856159712,19.4,26.2,95.3817045552275,37345,NA,0.748920164506996,0.131202595738525
"49","Mobile",413210,"AL","Mobile, AL",59.0123665932577,23.2,28.6,92.8762055922842,40112,278053,0.969608673555819,0.22275598364028
"50","Monroe",20733,"AL","Monroe, AL",55.3561954372257,13.5,29.1,89.1746265001225,35174,NA,1.34741716104761,0.162205180147591
"51","Montgomery",226486,"AL","Montgomery, AL",35.5085965578446,33.4,34.3,91.8862466071688,45479,175619,1.2713986736487,0.179693226071369
"52","Morgan",119679,"AL","Morgan, AL",82.8165342290627,22.4,28.1,95.0433381244828,41741,NA,0.665254555937132,0.12110729534839
"53","Perry",8923,"AL","Perry, AL",30.2364675557548,22.8,34.5,87.0032573289902,33529,NA,2.03171579065337,0.257984982629161
"54","Pickens",19930,"AL","Pickens, AL",58.0431510286001,14.1,30.7,89.6949063768495,33890,NA,2.06166583040642,0.271048670346212
"55","Pike",33114,"AL","Pike, AL",57.4862595880896,23.7,26.6,93.0178432893716,38473,NA,1.9890076704717,0.270369028205593
"56","Randolph",22722,"AL","Randolph, AL",77.9816917524866,16.5,23.9,93.507239715008,33804,NA,1.36436053164334,0.250286066367397
"57","Russell",57961,"AL","Russell, AL",49.9404772174393,17.8,23.4,89.7042386725131,33986,NA,1.37991062956126,0.224737323372613
"58","Shelby",217702,"AL","Shelby, AL",82.5389752965062,42.9,22.9,97.2108501820922,56830,NA,0.956486389651909,0.196029434731881
"59","St. Clair",89512,"AL","St. Clair, AL",87.4843596389311,16.1,23.5,96.8035959545511,40766,NA,1.25720573777817,0.148795692197694
"60","Sumter",12427,"AL","Sumter, AL",25.6457713044178,21.6,36.4,89.1387927720108,33009,NA,2.02768166089965,0.400418443711274
"61","Talladega",79978,"AL","Talladega, AL",64.0701192828028,15,23,92.2376174550088,36125,NA,1.05799094751057,0.155842856785616
"62","Tallapoosa",40367,"AL","Tallapoosa, AL",70.532861000322,18.4,26.1,92.0950323974082,42509,NA,0.802710134515817,0.177744196992593
"63","Tuscaloosa",209355,"AL","Tuscaloosa, AL",64.2167610040362,30.7,26.9,93.9843502021777,40648,NA,0.837969000023883,0.175314656922452
"64","Walker",63521,"AL","Walker, AL",90.9305583980101,11.3,30.8,94.5601342979336,42477,NA,0.80919695848617,0.15376017380079
"65","Washington",16326,"AL","Washington, AL",66.0051451672179,12.7,28,95.7429048414023,37837,NA,0.940769325003063,0.119931397770428
"66","Wilcox",10373,"AL","Wilcox, AL",27.648703364504,12.5,35.6,84.4317592112091,34903,NA,2.36778174105852,0.213920755808349
"67","Winston",23629,"AL","Winston, AL",95.9075712048754,12.8,14.8,94.7351959966639,35776,NA,1.41432138473909,0.158195437809471
"68","Arkansas",17486,"AR","Arkansas, AR",71.7659842159442,15.8,36.3,91.9503404084902,47899,NA,1.45150406039117,0.237504289145602
"69","Arkansas",17486,"AR","Arkansas, AR",71.7659842159442,23,36.3,91.9503404084902,47899,NA,1.45150406039117,0.237504289145602
"70","Ashley",19657,"AR","Ashley, AR",72.8544538841125,12.3,31,93.2577027201238,37944,NA,2.69613878007834,0.298977463499008
"71","Baxter",41932,"AR","Baxter, AR",96.5324811599733,17.9,33.4,96.1323569297532,37749,NA,1.06665553753696,0.16183344462463
"72","Benton",279141,"AR","Benton, AR",88.4803737179418,33.4,32.3,96.6919968328723,92697,629905,1.10238195034051,0.240147452362784
"73","Boone",37432,"AR","Boone, AR",95.971361402009,16.1,24.7,94.6122123187442,36414,NA,1.65099380209446,0.297125454156871
"74","Bradley",10763,"AR","Bradley, AR",68.8098113908761,14.3,35.8,92.0796560307762,39980,NA,1.94666914429063,0.080460838056304
"75","Calhoun",5189,"AR","Calhoun, AR",75.544420890345,11.4,22.6,93.7837837837838,35686,NA,2.71805742917711,0.266718057429177
"76","Carroll",28380,"AR","Carroll, AR",92.1247357293869,21.2,29.8,94.7571595295807,33021,NA,1.14799154334038,0.170331219168428
"77","Chicot",10118,"AR","Chicot, AR",42.9828029254793,15.9,35.7,85.07866273353,40389,NA,2.42211899584898,0.211899584898201
"78","Clark",22320,"AR","Clark, AR",72.3969534050179,26.6,32.4,92.7302865261662,36832,NA,1.29793906810036,0.211245519713262
"79","Clay",14551,"AR","Clay, AR",96.845577623531,12.6,31,90.9993792675357,36459,NA,1.6757611160745,0.19531303690468
"80","Cleburne",24919,"AR","Cleburne, AR",96.5046751474778,15.5,30.1,96.8747101919688,38942,NA,1.473213210803,0.367631124844496
"81","Cleveland",7956,"AR","Cleveland, AR",86.2745098039216,16.2,32.8,94.560149207336,39847,NA,1.35105580693816,0.28921568627451
"82","Columbia",23457,"AR","Columbia, AR",61.4443449716503,19.6,29.6,94.4522307871993,37456,NA,2.19925821716332,0.269940742635461
"83","Conway",20846,"AR","Conway, AR",84.7932457066104,15.6,36.1,94.2110964014924,38892,NA,0.705075314208961,0.146646838722057
"84","Craighead",110332,"AR","Craighead, AR",79.4710510096799,26.2,28.5,93.0803625377643,38669,NA,1.12028242033136,0.265353659862959
"85","Crawford",63257,"AR","Crawford, AR",90.7156520227011,16,25.2,95.4754153101261,33904,NA,1.27155887885926,0.274736392810282
"86","Crittenden",47955,"AR","Crittenden, AR",42.9861328328641,17.4,23.9,89.5879207297892,39041,NA,1.69246168282765,0.607819831091648
"87","Cross",16419,"AR","Cross, AR",73.9813630549973,14.4,31.7,93.8223357883661,38693,NA,1.82776052134722,0.273098239844083
"88","Dallas",7009,"AR","Dallas, AR",56.5130546440291,11.9,37.1,90.7039407207814,37101,NA,1.90169781709231,0.179911542302754
"89","Desha",11361,"AR","Desha, AR",49.3530499075786,14.1,39.1,84.5311299000769,40943,NA,1.77264325323475,0.102455769738579
"90","Drew",18219,"AR","Drew, AR",69.3177452110434,22.8,31,93.1256112896465,37742,NA,2.09940172347549,0.260936385092486
"91","Faulkner",126007,"AR","Faulkner, AR",83.5890069599308,30.6,32.3,95.3381940549635,38949,NA,1.37678065504297,0.205369542961899
"92","Franklin",17715,"AR","Franklin, AR",94.3776460626588,12.1,30.6,94.2882641677822,33404,NA,2.20993508326277,0.270787468247248
"93","Fulton",12477,"AR","Fulton, AR",96.0327001683097,12.2,20.5,95.4353508948321,29020,NA,1.80956960807887,0.0943335737757474
"94","Garland",99386,"AR","Garland, AR",86.9699957740527,21.6,32.3,92.399711507374,41069,NA,0.876773388606041,0.222355261304409
"95","Grant",18265,"AR","Grant, AR",94.6728716123734,18.7,26.9,97.4646655981349,39087,NA,1.1281686285245,0.230988228852998
"96","Greene",45325,"AR","Greene, AR",95.2410369553227,16.2,27.6,94.8417758200997,35770,NA,1.52443463872035,0.418841698841699
"97","Hempstead",21532,"AR","Hempstead, AR",65.7440089169608,15.1,18.6,94.2179392142328,32238,NA,1.82217165149545,0.216979379528144
"98","Hot Spring",33771,"AR","Hot Spring, AR",85.4431316810281,13.3,27.3,94.102706564013,31443,NA,1.47952385182553,0.365609546652453
"99","Howard",13202,"AR","Howard, AR",74.9962126950462,13.6,29.7,93.5822637106184,34762,NA,2.91637630662021,0.333737312528405
"100","Independence",37825,"AR","Independence, AR",93.7951090548579,17.5,22.9,95.3986873341712,36476,NA,1.58183740912095,0.328750826173166
"101","Izard",13629,"AR","Izard, AR",95.0326509648544,13.1,24.3,93.1560502989074,30923,NA,1.21124073666447,0.113507960965588
"102","Jackson",16719,"AR","Jackson, AR",79.2332077277349,10.1,26.3,94.7205474987779,40703,NA,1.39589688378492,0.228243315987798
"103","Jefferson",66824,"AR","Jefferson, AR",39.822518855501,18,26.8,90.1197716503115,36586,NA,1.13574464264336,0.220669220639291
"104","Johnson",26578,"AR","Johnson, AR",91.5983143953646,15.4,29.5,94.1850857260896,28920,NA,2.34148543908496,0.217924599292648
"105","Lafayette",6624,"AR","Lafayette, AR",61.2167874396135,15.8,23.2,90.0862068965517,36524,NA,2.31446256038647,0.230676328502415
"106","Lawrence",16406,"AR","Lawrence, AR",96.4890893575521,15.4,28.4,95.3117747176234,34400,NA,1.80007314397172,0.278008045836889
"107","Lee",8857,"AR","Lee, AR",43.0506943660382,10.7,23.1,82.2832189644417,32099,NA,2.08185615897031,0.414813142147454
"108","Lincoln",13024,"AR","Lincoln, AR",67.5522113022113,9.7,21.8,93.7185263715876,28024,NA,1.50552825552826,0.180743243243243
"109","Little River",12259,"AR","Little River, AR",75.4547679256057,12.5,19.3,92.2245012120082,35383,NA,2.33795578758463,0.279712864018272
"110","Logan",21466,"AR","Logan, AR",93.1519612410323,13.3,28.6,95.8179874064394,33386,NA,1.41418988167334,0.129320786359825
"111","Lonoke",73309,"AR","Lonoke, AR",89.7829734411873,20.6,29,95.5084588213423,40749,NA,2.26702042041223,0.362383881924457
"112","Madison",16576,"AR","Madison, AR",94.1361003861004,14.2,26.2,94.2666029622551,34245,NA,1.32203185328185,0.201254826254826
"113","Marion",16694,"AR","Marion, AR",95.549299149395,17.1,24.9,93.5269831907992,31405,NA,1.29046363963101,0.164370432490715
"114","Miller",43257,"AR","Miller, AR",71.1422428739857,16.8,8.5,91.598685011567,35035,34881,1.08292299512218,0.153639873315302
"115","Mississippi",40651,"AR","Mississippi, AR",61.8016776955056,13.8,24.6,89.7431203856245,36882,NA,1.40552507933384,0.148089837888367
"116","Monroe",6701,"AR","Monroe, AR",56.1110282047456,12.7,36.8,87.4287428742874,36710,NA,1.35890165646918,0.0516340844650052
"117","Montgomery",8986,"AR","Montgomery, AR",93.9906521255286,13.5,26.7,95.5780500799148,29858,NA,1.8366347651903,0.20654351212998
"118","Nevada",8252,"AR","Nevada, AR",66.4444983034416,14.6,22.1,94.9955843391228,34274,NA,4.42401841977702,0.745395055744062
"119","Newton",7753,"AR","Newton, AR",95.2405520443699,20.5,22.6,96.0490463215259,30096,NA,1.77157229459564,0.238488327099187
"120","Ouachita",23382,"AR","Ouachita, AR",56.5434949961509,14.5,33.1,91.7581279768068,38801,NA,1.99923017705928,0.30553417158498
"121","Perry",10455,"AR","Perry, AR",94.5098039215686,12.7,33.5,94.0294438386041,36248,NA,1.35236728837877,0.149593495934959
"122","Phillips",17782,"AR","Phillips, AR",35.4347092565516,13.8,29.3,82.5784903139613,35438,NA,2.71409290293555,0.405297491845687
"123","Pike",10718,"AR","Pike, AR",92.5172606829632,17.3,27.5,95.2803738317757,32499,NA,1.89083784288113,0.207034894569882
"124","Poinsett",23528,"AR","Poinsett, AR",89.110846650799,11.1,27.7,94.0268738190216,35558,NA,1.47904624277457,0.294075144508671
"125","Polk",19964,"AR","Polk, AR",93.7888198757764,14.1,22.9,94.2860609001577,30984,NA,2.03130635143258,0.273191745141254
"126","Pope",64072,"AR","Pope, AR",92.0823448620302,22.8,30.8,94.5258868860445,35464,NA,1.09024222749407,0.118429267074541
"127","Prairie",8062,"AR","Prairie, AR",86.5045894319028,15.4,26.9,94.4650423728814,37330,NA,2.46936244108162,0.235673530141404
"128","Pulaski",391911,"AR","Pulaski, AR",57.1548132101421,34.3,38,92.4669885037108,51927,958510,1.17485857758522,0.261549178257308
"129","Randolph",17958,"AR","Randolph, AR",94.2978059917585,13.8,21.7,95.0917743031951,34352,NA,0.937743624011583,0.0926049671455619
"130","Saline",122437,"AR","Saline, AR",87.9358363893268,26.7,31.6,95.6211003970505,42688,NA,1.22124847880951,0.230102011646806
"131","Scott",10281,"AR","Scott, AR",91.1389942612586,9.3,23.2,90.26369168357,31159,NA,1.56657912654411,0.13772979282171
"132","Searcy",7881,"AR","Searcy, AR",95.0006344372541,11.9,25.5,90.9828674481515,28143,NA,1.44524806496637,0.110899632026393
"133","Sebastian",127827,"AR","Sebastian, AR",81.8238713260892,21.3,23.7,93.1873194346842,42821,84136,1.28316396379482,0.254242061536295
"134","Sevier",17007,"AR","Sevier, AR",87.7697418709943,12.8,25.9,95.5819881053526,32001,NA,2.48574116540248,0.122831775151408
"135","Sharp",17442,"AR","Sharp, AR",95.057906203417,10.2,25.9,94.4004297032362,34403,NA,1.86962504299966,0.11432175209265
"136","St. Francis",24994,"AR","St. Francis, AR",43.9945586940866,10.4,31.6,86.4720920323818,29154,NA,2.09774345843002,0.492438185164439
"137","Stone",12506,"AR","Stone, AR",96.2498000959539,13.9,26.9,94.9446417380405,31593,NA,1.05157524388294,0.189349112426035
"138","Union",38682,"AR","Union, AR",64.0246109301484,21.1,31.8,94.8683708508203,45261,NA,2.02171552660152,0.26291298278269
"139","Van Buren",16545,"AR","Van Buren, AR",95.9383499546691,14.5,28.8,93.2482019668281,31697,NA,1.18482925355092,0.269990933816863
"140","Washington",239187,"AR","Washington, AR",86.3069481200901,33.3,33.9,94.0395075866018,41005,NA,0.828184642141922,0.188317090811792
"141","White",78753,"AR","White, AR",91.6853961118941,20.9,29,93.4159352951299,37082,NA,1.94219902733864,0.328990641626351
"142","Woodruff",6320,"AR","Woodruff, AR",70.7594936708861,14,38.1,89.2905866302865,39902,NA,1.88386075949367,0.271360759493671
"143","Yell",21341,"AR","Yell, AR",93.8568951782953,12.8,26.8,94.8154071704651,33260,NA,0.928588163628696,0.061431048217047
"144","Apache",71887,"AZ","Apache, AZ",22.275237525561,12.3,55.9,87.175923707289,35189,NA,2.39211540334135,0.195751665808839
"145","Cochise",125922,"AZ","Cochise, AZ",87.7249408363908,23.1,40.4,94.5178717381337,41766,NA,0.874041073045218,0.300932323184193
"146","Coconino",143476,"AZ","Coconino, AZ",65.7385207282054,36.2,56.7,95.0934727169263,49189,418909,2.43538292118542,0.306999079985503
"147","Gila",54018,"AZ","Gila, AZ",78.2276278277611,18.7,45.1,94.1125541125541,41217,NA,0.644266725906179,0.181458032507683
"148","Graham",38837,"AZ","Graham, AZ",81.6618173391354,15.2,40.6,94.0546428247254,31895,NA,1.54939876921492,0.2995082009424
"149","Greenlee",9498,"AZ","Greenlee, AZ",90.1242366814066,13.5,32.7,98.3397190293742,42296,NA,1.05917035165298,0.0807538429142977
"150","La Paz",21108,"AZ","La Paz, AZ*",76.6723517149896,12,37,93.1414508880805,34006,NA,2.06272503316278,0.336839113132462
"151","Maricopa",4485414,"AZ","Maricopa, AZ",82.7994026861289,32.7,36.5,94.0602900851494,49704,22017691,0.834700654164811,0.302974039854515
"152","Mohave",212181,"AZ","Mohave, AZ",91.714621007536,12.9,28.8,94.5689327763008,34393,256025,1.37088617736744,0.328478987279728
"153","Navajo",110924,"AZ","Navajo, AZ",50.3822436983881,15.3,45.4,90.5630180051443,33268,NA,1.91507698965057,0.184856298005842
"154","Pima",1047279,"AZ","Pima, AZ",84.8156031009884,32.4,46.7,91.8436325632074,45456,1549253,1.01255443869303,0.465047040950883
"155","Pinal",462789,"AZ","Pinal, AZ",82.6681273755426,19.5,33.3,95.8365180467091,32182,NA,1.04037261041209,0.413432471385448
"156","Santa Cruz",46498,"AZ","Santa Cruz, AZ",95.4879779775474,20.4,62.9,94.884249038037,39427,NA,0.987590864123188,0.303496924598907
"157","Yavapai",235099,"AZ","Yavapai, AZ",93.2704945576119,25.9,37,95.9313316935336,41393,NA,1.35565442643312,0.169107482379763
"158","Yuma",213787,"AZ","Yuma, AZ*",91.2277173074135,15,41.2,94.2200881009056,36570,79233,1.37327807584184,0.258939972963744
"159","Alameda",1671329,"CA","Alameda, CA",49.2777304767643,47.4,56.2,90.5659788938229,81171,5506687,0.515182827558189,0.16401797611362
"160","Alpine",1129,"CA","Alpine, CA",67.9362267493357,34.5,0,93.7142857142857,72155,NA,0.104517271922055,0
"161","Amador",39752,"CA","Amador, CA",89.6458039847052,19.3,46,94.2030971632178,45920,NA,0.78999798752264,0.212089957737975
"162","Butte",219186,"CA","Butte, CA",85.6541932422691,27.2,37,93.1915142991092,47860,NA,0.878984059200861,0.152984223444928
"163","Calaveras",45905,"CA","Calaveras, CA",90.9530552227426,18.3,44.3,98.3532050525322,51131,NA,0.753578041607668,0.149308354209781
"164","Colusa",21547,"CA","Colusa, CA",91.1031698148234,15,36.6,94.2161339421613,51342,NA,0.808790086787024,0.199331693507217
"165","Contra Costa",1153526,"CA","Contra Costa, CA",65.1292645332658,42.4,54.9,94.7602268668513,85324,NA,0.494406714716443,0.144282833676918
"166","Del Norte",27812,"CA","Del Norte, CA",78.0957859916583,14.8,27.2,91.3524384112619,38445,NA,0.655544369336977,0.223069178771753
"167","El Dorado",192843,"CA","El Dorado, CA",88.6399817468096,34.3,41.1,95.7984614084031,69895,NA,0.911186820366827,0.236944042563121
"168","Fresno",999101,"CA","Fresno, CA",76.5890535591497,21.2,38,91.7091579897761,45487,695008,1.30172825370008,0.200921628544061
"169","Glenn",28393,"CA","Glenn, CA",89.0782939456908,14.2,33.9,95.8651462568171,49194,NA,2.05871165428098,0.197619131476068
"170","Humboldt",135558,"CA","Humboldt, CA",83.2337449652547,30.4,44.3,92.6022787541835,49654,55168,1.0692987503504,0.245548031101079
"171","Imperial",181215,"CA","Imperial, CA",90.1934166597688,15.2,40.9,92.1992460237793,40447,NA,1.88318295946804,0.281665425047595
"172","Inyo",18039,"CA","Inyo, CA",79.8492155884473,27.2,0,94.7924528301887,60513,NA,2.43516824657686,0.793225788569211
"173","Kern",900202,"CA","Kern, CA",82.3103036873946,16.4,30.8,93.1286582162334,41843,120966,1.45851708838683,0.297419912419657
"174","Kings",152940,"CA","Kings, CA",80.8467372825945,14.7,26.4,94.3546902329007,39433,NA,1.32959984307572,0.190591081469857
"175","Lake",64386,"CA","Lake, CA",87.0499798092753,15.5,39.1,94.2166796570538,44259,NA,0.820038517690181,0.137498835150499
"176","Lassen",30573,"CA","Lassen, CA",80.9210741503941,12.9,24.8,94.4827586206897,38130,NA,1.85968010990089,0.122918915382854
"177","Los Angeles",10039107,"CA","Los Angeles, CA",70.7065777862513,32.5,45.9,91.1823612855181,65094,39546106,0.610813790509455,0.19758201600999
"178","Madera",157327,"CA","Madera, CA",85.9248571446732,14.6,34.8,95.5415431919966,41267,NA,1.27921462940245,0.148258086660268
"179","Marin",258826,"CA","Marin, CA",85.3163901617303,59.5,66.6,95.3600424918431,141735,NA,0.558815574942239,0.196626304930726
"180","Mariposa",17203,"CA","Mariposa, CA",89.3100040690577,24.6,0,95.4468140782415,56354,NA,1.31058536301808,0.0902749520432483
"181","Mendocino",86749,"CA","Mendocino, CA",86.059781668953,24.4,45.5,93.6119507091374,52976,NA,1.23951861116555,0.247783836124912
"182","Merced",277680,"CA","Merced, CA",82.1611207144915,13.8,30.9,93.1206879312069,41077,NA,1.06874819936618,0.157620282339383
"183","Modoc",8841,"CA","Modoc, CA",88.2026920031671,15.2,0,96.2389380530973,51088,NA,3.11684198620066,0.366361271349395
"184","Mono",14444,"CA","Mono, CA",90.1343118249792,28.8,0,96.1804826862539,53500,23504,1.62752700083079,0.394281362503462
"185","Monterey",434061,"CA","Monterey, CA",82.8351314676969,24.7,46,95.3906649364948,59838,180605,1.05032011629702,0.190828017260247
"186","Napa",137744,"CA","Napa, CA",83.6326809153212,35.7,57,95.0662149676625,75717,NA,0.365859855964688,0.173081949123011
"187","Nevada",99755,"CA","Nevada, CA",93.279534860408,37.2,44.3,96.0372047485008,63542,NA,0.806646283394316,0.204009824068969
"188","Orange",3175692,"CA","Orange, CA",71.124813111599,40.6,47.7,95.6143276285504,71711,4945209,0.459228098946623,0.171040831415641
"189","Placer",398329,"CA","Placer, CA",83.9225866055447,39.7,45,96.248643729656,68936,NA,0.781200967039809,0.212352100901516
"190","Plumas",18807,"CA","Plumas, CA",90.5248045940341,23.7,0,95.0059171597633,55910,NA,1.39192853724677,0.267932152921784
"191","Riverside",2470546,"CA","Riverside, CA",79.5875486633319,22.3,36.4,95.8484907427717,42418,947728,0.802391859937034,0.184294483891415
"192","Sacramento",1552058,"CA","Sacramento, CA",62.7530672178488,30.9,40.1,93.3572119147369,55266,4714729,0.80753361021302,0.243578526060237
"193","San Benito",62808,"CA","San Benito, CA",87.359890459814,19.7,39,97.4358974358974,55261,NA,1.35247102279964,0.288179849700675
"194","San Bernardino",2180085,"CA","San Bernardino, CA",76.5555471460975,21,33.8,95.1992088560329,42043,2089801,1.04703394592413,0.266186410162907
"195","San Diego",3338330,"CA","San Diego, CA",75.4086025048452,38.8,65.6,94.4892231841505,63729,9998143,0.782769828027786,0.219625381553052
"196","San Francisco",881549,"CA","San Francisco, CA",52.7805034093397,58.1,63,69.1475739194269,139405,NA,0.600471442880657,0.273576397908681
"197","San Joaquin",762148,"CA","San Joaquin, CA",66.0698447020789,18.8,40.1,93.8538809189428,47139,80163,0.771835653967471,0.19807570183219
"198","San Luis Obispo",283111,"CA","San Luis Obispo, CA",88.8068637389575,35.4,43.4,95.6652607542861,61004,144324,1.17300281515024,0.208829752287972
"199","San Mateo",766573,"CA","San Mateo, CA",59.4920509853595,51,59.3,94.7154733762612,134107,24190560,0.574366694365703,0.187275054039211
"200","Santa Barbara",446499,"CA","Santa Barbara, CA",85.3704039650705,34.2,48.7,94.0838909609478,66076,360452,0.747208840333349,0.144902900118477
"201","Santa Clara",1927852,"CA","Santa Clara, CA",52.3524108697141,52.4,58.6,94.8228329545543,115997,4822480,0.543802636301957,0.134516550025624
